,0,1
0,J1,W1_0
1,J1,W1_1
2,J1,W1_2
3,J1,W1_3
4,J1,SJ1_0
5,J1,SJ1_1
6,J1,SJ1_2
7,J1,E2_0
8,J1,E2_1
9,J1,E2_2
10,J1,E2_3
11,J1,NJ1_0
12,J1,NJ1_1
13,J1,NJ1_2
14,J2,NJ2_0
15,J2,NJ2_1
16,J2,NJ2_2
17,J2,W2_0
18,J2,W2_1
19,J2,W2_2
20,J2,W2_3
21,J2,SJ2_0
22,J2,SJ2_1
23,J2,E3_0
24,J2,E3_1
25,J2,E3_2
26,J2,E3_3
27,J3,W3_0
28,J3,W3_1
29,J3,W3_2
30,J3,W3_3
31,J3,SJ3_0
32,J3,E4_0
33,J3,E4_1
34,J3,E4_2
35,J3,E4_3
36,J3,NJ3_0
37,J3,NJ3_1
38,J4,W4_0
39,J4,W4_1
40,J4,W4_2
41,J4,W4_3
42,J4,SJ4_0
43,J4,SJ4_1
44,J4,SJ4_2
45,J4,SJ4_3
46,J4,E5_0
47,J4,E5_1
48,J4,E5_2
49,J4,E5_3
50,J4,NJ4_0
51,J4,NJ4_1
52,J4,NJ4_2
53,J4,NJ4_3
54,J4,NJ4_4
55,J5,W5_0
56,J5,W5_1
57,J5,W5_2
58,J5,W5_3
59,J5,SJ5_0
60,J5,SJ5_1
61,J5,E6_0
62,J5,E6_1
63,J5,E6_2
64,J5,E6_3
65,J5,NJ5_0
66,J5,NJ5_1
